iter	RMSE
0	0.4821769085
1	0.4811312755
2	0.4800204601
3	0.4790256155
4	0.4782187703
5	0.4774949522
6	0.4765992442
7	0.4759158333
8	0.4752935427
9	0.4746924657
10	0.4740910453
11	0.4735955718
12	0.473142733
13	0.4726737031
14	0.4723604822
15	0.471986752
16	0.4716344308
17	0.4714176382
18	0.4711225508
19	0.4708457321
20	0.4705931429
21	0.4703945316
22	0.4701764449
23	0.4699779889
24	0.4698034865
25	0.469611564
26	0.4694700122
27	0.4693337719
28	0.4691899387
29	0.4690626887
30	0.4688959319
31	0.4687581315
32	0.4686507865
33	0.4685705122
34	0.4684578432
35	0.4683919442
36	0.4683239263
37	0.4682637401
38	0.4682189856
39	0.4680658739
40	0.4679204619
41	0.4678539963
42	0.4677987745
43	0.4677376955
44	0.4676870227
45	0.4676246564
46	0.4675199197
47	0.4674418118
48	0.4673936828
49	0.4673309081
50	0.4672759101
51	0.4672057483
52	0.4671896311
53	0.4671467061
54	0.46709118
55	0.4670413714
56	0.4670155995
57	0.4669725091
58	0.4669269841
59	0.4668974261
60	0.466877329
61	0.4668426082
62	0.4667429981
63	0.4667297462
64	0.4666921268
65	0.4666399581
66	0.4666344117
67	0.4666305154
68	0.4666013632
69	0.4665788915
70	0.4665578398
71	0.4665382291
72	0.4665164051
73	0.4664584111
74	0.4663853317
75	0.4663596071
76	0.4663332569
77	0.4663108941
78	0.4662575022
79	0.4662311442
80	0.4661966211
81	0.4661795625
82	0.4661430901
83	0.4661198835
84	0.46605401
85	0.466031502
86	0.4660213469
87	0.4659892951
88	0.4659594862
89	0.4659273369
90	0.4659090016
91	0.4659028021
92	0.4658644027
93	0.4658302138
94	0.4657856276
95	0.4657517344
96	0.4657211344
97	0.4656462077
98	0.4656106884
99	0.4655507963
100	0.4655351818
101	0.4655182207
102	0.4654714136
103	0.4654532947
104	0.4654408646
105	0.4654121507
106	0.465391344
107	0.4653790123
108	0.4653677365
109	0.465330459
110	0.4653113837
111	0.4652942042
112	0.4652869435
113	0.4652616073
114	0.4652554449
115	0.4652087563
116	0.4651853527
117	0.4651401795
118	0.4651253911
119	0.4650744368
120	0.4650458725
121	0.4650149912
122	0.4649813918
123	0.464959776
124	0.4649362679
125	0.4649270654
126	0.4649066803
127	0.4648915367
128	0.4648777134
129	0.4648618618
130	0.4648367435
131	0.4648062638
132	0.4647763575
133	0.4647530136
134	0.4647400047
135	0.4647378609
136	0.4647251363
137	0.4647123866
138	0.4646707125
139	0.4646274801
140	0.4646103926
141	0.4645961661
142	0.4645673954
143	0.4645452879
144	0.4645081957
145	0.464477257
146	0.4644404727
147	0.4644276647
148	0.4644142979
149	0.4643840487
150	0.4643784438
151	0.4643676005
152	0.4643181307
153	0.4642711695
154	0.464264234
155	0.4642452042
156	0.4642339371
157	0.4642281964
158	0.4641746157
159	0.4641504718
160	0.4641347052
161	0.4641088747
162	0.4640898538
163	0.4640688028
164	0.4640687487
165	0.4640404627
166	0.4639750542
167	0.4639268971
168	0.4639126537
169	0.4638989526
170	0.4638769002
171	0.4638457121
172	0.463793159
173	0.4637592936
174	0.4637351614
175	0.4636940271
176	0.4636554477
177	0.4636327412
178	0.4635979503
179	0.4635924523
180	0.4635651739
181	0.463531797
182	0.4635291825
183	0.4635103528
184	0.463502081
185	0.4634863623
186	0.4634596087
187	0.4634550449
188	0.4634045022
189	0.4633807487
190	0.4633448597
191	0.4633096327
192	0.4632842113
193	0.463263714
194	0.4632236481
195	0.4632061286
196	0.4631686565
197	0.4631341309
198	0.463085076
199	0.4630715428
200	0.4630187573
201	0.4629863023
202	0.4629404262
203	0.4628999325
204	0.4628537438
205	0.4628142726
206	0.4627749333
207	0.4627467868
208	0.4627274864
209	0.4627037771
210	0.4626704039
211	0.462643322
212	0.4626052298
213	0.4625768418
