iter	Passed	Remaining
0	6	6192
1	7	3960
2	10	3334
3	12	2988
4	13	2643
5	14	2477
6	16	2306
7	17	2150
8	20	2220
9	21	2140
10	23	2130
11	25	2067
12	26	2016
13	27	1957
14	29	1906
15	30	1874
16	32	1851
17	33	1833
18	35	1857
19	37	1832
20	39	1819
21	40	1796
22	41	1773
23	42	1748
24	45	1755
25	46	1734
26	47	1714
27	50	1741
28	51	1723
29	53	1728
30	54	1713
31	56	1696
32	57	1680
33	58	1663
34	59	1650
35	61	1638
36	63	1645
37	66	1676
38	68	1682
39	69	1667
40	70	1657
41	72	1644
42	73	1633
43	74	1626
44	76	1613
45	77	1601
46	79	1613
47	82	1634
48	84	1641
49	85	1629
50	87	1619
51	88	1608
52	89	1600
53	90	1593
54	92	1583
55	93	1575
56	94	1566
57	95	1557
58	97	1549
59	98	1541
60	99	1534
61	100	1527
62	102	1519
63	103	1517
64	105	1512
65	106	1503
66	107	1493
67	108	1482
68	109	1476
69	110	1469
70	111	1462
71	112	1456
72	114	1451
73	115	1447
74	116	1442
75	118	1437
76	119	1434
77	121	1430
78	122	1425
79	123	1419
80	124	1414
81	126	1411
82	127	1407
83	128	1403
84	129	1398
85	131	1394
86	132	1388
87	133	1386
88	135	1382
89	136	1377
90	137	1373
91	138	1367
92	140	1365
93	141	1361
94	142	1357
95	143	1353
96	144	1349
97	146	1345
98	147	1342
99	148	1340
100	150	1337
101	151	1333
102	152	1329
103	153	1325
104	155	1322
105	156	1318
106	157	1315
107	158	1311
108	160	1308
109	161	1305
110	162	1301
111	163	1299
112	166	1305
113	168	1311
114	171	1316
115	173	1320
116	175	1325
117	179	1340
118	181	1342
119	183	1347
120	185	1350
121	187	1347
122	188	1343
123	189	1341
124	191	1338
125	192	1335
126	194	1334
127	195	1332
128	196	1328
129	198	1325
130	199	1322
131	200	1319
132	201	1316
133	203	1312
134	204	1311
135	205	1306
136	206	1302
137	207	1299
138	209	1297
139	210	1294
140	212	1293
141	213	1290
142	214	1286
143	215	1283
144	217	1282
145	219	1281
146	220	1279
147	221	1275
148	223	1274
149	224	1271
150	226	1270
151	227	1268
152	228	1265
153	229	1262
154	231	1259
155	232	1257
156	233	1255
157	235	1252
158	236	1250
159	237	1247
160	239	1246
161	241	1246
162	243	1248
163	244	1245
164	245	1241
165	246	1238
166	248	1241
167	251	1243
168	253	1245
169	256	1250
170	257	1248
171	258	1245
172	260	1243
173	261	1241
174	263	1242
175	264	1240
176	266	1238
177	267	1235
178	270	1239
179	271	1237
180	274	1240
181	275	1238
182	277	1237
183	278	1235
184	279	1232
185	281	1230
186	282	1227
187	285	1232
188	287	1234
189	289	1235
190	292	1237
191	293	1233
192	294	1231
193	295	1228
194	296	1225
195	299	1228
196	300	1225
197	303	1229
198	305	1231
199	307	1229
200	308	1227
201	310	1225
202	311	1224
203	313	1224
204	315	1222
205	317	1224
206	320	1227
207	321	1225
208	323	1222
209	324	1220
210	325	1217
211	328	1220
212	329	1217
213	330	1214
214	333	1216
215	335	1217
216	336	1215
217	338	1213
218	339	1210
219	342	1213
220	343	1211
221	344	1208
222	347	1212
223	350	1214
224	352	1215
225	356	1221
226	358	1219
227	359	1216
228	361	1218
229	365	1223
230	366	1220
231	367	1218
232	370	1220
233	372	1218
234	373	1215
235	374	1212
236	376	1213
237	379	1216
238	381	1214
239	382	1211
240	385	1212
241	388	1215
242	389	1213
243	391	1214
244	395	1217
245	396	1214
246	397	1212
247	399	1212
248	401	1209
249	402	1208
250	404	1205
251	406	1207
252	409	1208
253	410	1206
254	411	1203
255	414	1203
256	415	1201
257	416	1198
258	418	1196
259	420	1196
260	423	1199
261	424	1196
262	426	1194
263	428	1194
264	429	1192
265	431	1189
266	433	1188
267	435	1189
268	437	1189
269	439	1187
270	440	1185
271	442	1184
272	443	1182
273	445	1179
274	446	1178
275	449	1179
276	452	1180
277	453	1178
278	456	1178
279	457	1176
280	458	1173
281	459	1171
282	462	1172
283	464	1170
284	466	1171
285	468	1169
286	470	1169
287	472	1167
288	473	1165
289	474	1162
290	477	1162
291	478	1161
292	480	1159
293	481	1156
294	484	1157
295	486	1156
296	487	1153
297	488	1151
298	489	1148
299	492	1150
300	494	1147
301	495	1145
302	497	1144
303	499	1144
304	501	1142
305	502	1139
306	503	1137
307	506	1138
308	507	1135
309	509	1133
310	510	1131
311	512	1130
312	514	1128
313	515	1126
314	516	1124
315	518	1121
316	521	1123
317	522	1121
318	523	1118
319	525	1115
320	528	1117
321	530	1117
322	534	1119
323	538	1122
324	540	1121
325	543	1123
326	544	1121
327	546	1118
328	548	1118
329	550	1116
330	551	1114
331	552	1112
332	554	1111
333	556	1108
334	557	1106
335	558	1103
336	559	1101
337	561	1099
338	562	1097
339	563	1094
340	565	1091
341	566	1089
342	567	1087
343	569	1085
344	570	1082
345	571	1080
346	572	1078
347	574	1075
348	575	1073
349	576	1071
350	578	1069
351	579	1066
352	580	1064
353	581	1061
354	583	1059
355	584	1057
356	585	1054
357	586	1052
358	587	1049
359	589	1047
360	590	1045
361	591	1043
362	593	1040
363	594	1038
364	595	1036
365	597	1034
366	598	1032
367	599	1029
368	600	1027
369	602	1025
370	603	1023
371	604	1020
372	605	1018
373	607	1016
374	608	1014
375	609	1011
376	611	1010
377	612	1008
378	614	1006
